Phone Name,Min Price Per Month,Product Image,Product Url,Trade Offer
Moto G Power 2024,$10,https://images.ctfassets.net/szuukvy7owq5/7yvUM79NmL7RGjqkuuAY1s/a5bb51c7cfa25fd6c8624cd351cd3c97/2023_Cancun_5G_NA__Basic_pack_Outer_Space_Frontside_V4_1.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-Power-2024?sku=840023253904&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
Moto G 5G 2024,$0,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-5G-2024?sku=840023254697&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13,$29.38,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-13?sku=194252705872&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
Samsung S24 Plus 5G,$30,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-Plus-5G?sku=887276801513&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy S23,$1,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-S23?sku=887276718132&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy Z Flip5,$10,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-Z-Flip5?sku=887276765945&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy Z Fold5,$50,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-Z-Fold5?sku=887276766430&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 12,$5,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-12?sku=6292581374517&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13,$15,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13?sku=6292581374579&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 14,$20,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-14?sku=6292581374739&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13 Pro,$20,https://images.ctfassets.net/szuukvy7owq5/3VM3dMMwKywInyUprXKAcR/27fd89feb72632fe136708bbffbbaf35/952F1ABE-D2B6-4C9A-ABED-62D967BC78F2.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13-Pro?sku=6292581374678&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13 Pro Max,$25,https://images.ctfassets.net/szuukvy7owq5/6PBo2AQ3BQ2hmNxgLYeVBL/149cb2e199a0db51574f826c7874cac3/pro_3.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13-Pro-Max?sku=6292581374685&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
TCL 502 LTE,$0,https://images.ctfassets.net/szuukvy7owq5/nDUjFiaKZcXRxId3KOp5P/6129a1bc6c67fa64820a901e2b9975d2/Rio_TCL_502_CAN_Prime_Black_Front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/TCL/TCL-502-LTE?sku=889063527460&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)%20Promo&deviceOption=MyTab,
Blade A7P,$6,https://images.ctfassets.net/szuukvy7owq5/kSTGmrXZylGfaPNa01xLA/e53bab568fa78afc4d0fc8aed932cd26/1DX_5638.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/Blade-A7P?sku=885913109039&planSku=Nationwide%204G%204GB%20Promo&deviceOption=MyTab,
ZTE Cymbal 2 (2022),$3,https://images.ctfassets.net/szuukvy7owq5/2ZiF3PspbYx0ESVixsQhpX/f2d8536daad31440d963c57bcf99934d/ZTECymbal-Front__1_.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/ZTE-Cymbal-2-(2022)?sku=885913109503&planSku=Nationwide%204G%201GB&deviceOption=MyTab,
Samsung Tab A9+,$16.67,https://images.ctfassets.net/szuukvy7owq5/6J9f455fDkOFo93sbO20Gz/ae98109306b640c1fa493505c676c7b4/galaxytab_a9plus_graphite_front_back.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-Tab-A9+?sku=887276815886&planSku=Tablet%204G%205GB&deviceOption=MyTab,
Grand X View 4,$0,https://images.ctfassets.net/szuukvy7owq5/5IonTNg8ZLWhIfZek5K9tg/88e96ff6f02d4ac81541bca1d43e849e/Grand-X-View-4_00130.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/ZTE/Grand-X-View-4?sku=885913108568&planSku=Tablet%205GB&deviceOption=MyTab,
Watch Ultra 2,$47,https://images.ctfassets.net/szuukvy7owq5/7DpmxaTLcWEWaPkhAHu7U7/17c316cda062b0d7cc97b450df8087a5/apple_watch_ultra_2_ocean_blue_band_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/Watch-Ultra-2?sku=194253826231&planSku=Apple%20Watch%204G%205GB&deviceOption=MyTab,
Watch Series 9,$30.63,https://images.ctfassets.net/szuukvy7owq5/22N4evMoNdZKwc5KzIhD47/212050c54b96483c313a037aa3fb1674/apple_watch_series_9_aluminum_41mm_starlight_SB_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/Watch-Series-9?sku=195949021459&planSku=Apple%20Watch%204G%205GB&deviceOption=MyTab,
