Phone Name,Rates,Images,Product Url,Trade Offer
Moto G 5G 2023,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/2ePWz8tI2fU5ZgdVGyFzKC/7b01c107fad0965904426dcc7cc23c05/_0004_2023_Penang-5G-NA_Basic-pack_Basalt-Blue_Frontside.png?fm=webp,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-5G-2023?sku=840023245497&planSku=Nationwide%204G%204GB%20Promo&deviceOption=MyTab,
Moto G Play 2024,$5 /mo.,https://images.ctfassets.net/szuukvy7owq5/1QfdD7Meo7WY91sx8nD849/dee470714c58ee5a59f7d2b6652c904d/moto_g_play_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-Play-2024?sku=840023254000&planSku=Nationwide%204G%204GB%20Promo&deviceOption=MyTab,
Moto G Power 2024,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/7yvUM79NmL7RGjqkuuAY1s/a5bb51c7cfa25fd6c8624cd351cd3c97/2023_Cancun_5G_NA__Basic_pack_Outer_Space_Frontside_V4_1.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-Power-2024?sku=840023253904&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
Moto G 5G 2024,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/1lZjynp1V2BPpkeKy4XIPE/48203c573ffd0cf860259d9c0e18d7b7/2023_FOGO_5G_NA_Basic_Pack_Sedona_FRONTSIDE_V2_1.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Motorola/Moto-G-5G-2024?sku=840023254697&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13,$29.38 /mo.,https://images.ctfassets.net/szuukvy7owq5/5UBE8HNEJhVRqFevOYopoW/3acffacd14c3e513f29998531179227b/13_3__1_.jpg?fm=webp,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-13?sku=194252705872&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
Samsung S24 Plus 5G,$30 /mo.,https://images.ctfassets.net/szuukvy7owq5/4N359eiT29scHLsCi6QilJ/e796462c3ffb707ad8865bc84c67c8a3/s24plus_onyx_frontback.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-Plus-5G?sku=887276801513&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy S23,$1 /mo.,https://images.ctfassets.net/szuukvy7owq5/lzoRUmHkwyoQ02FAVukDE/27345923a019850d363b5c7e147c480e/_0003s_0000s_0005_-global-version--sm-s911_galaxys23_front_phantomblack_221122.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-S23?sku=887276718132&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy Z Flip5,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/4MLcO6P66fjQ8xlFjtsbP9/885bfe4d8418897bd6eed1416c0343a4/zflip6_silver_shadow_open_right_angle.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-Z-Flip5?sku=887276765945&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Galaxy Z Fold5,$50 /mo.,https://images.ctfassets.net/szuukvy7owq5/541IVvFcZVJTDChnGepN06/0c340c54cf4e6c319f5c8b75a99c70c1/zfold6_silver_shadow_open_back.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Galaxy-Z-Fold5?sku=887276766430&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 12,$5 /mo.,https://images.ctfassets.net/szuukvy7owq5/X6cR7mKTjrgyhe5GvPaiY/30cfb272bf7db6861378bad3044b3c03/CAEN_2_iPhone12_Black_transparent.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-12?sku=6292581374517&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
iPhone 13,$15 /mo.,https://images.ctfassets.net/szuukvy7owq5/5UBE8HNEJhVRqFevOYopoW/3acffacd14c3e513f29998531179227b/13_3__1_.jpg?fm=webp,https://shop.freedommobile.ca/en-CA/devices/Apple/CPO-iPhone-13?sku=6292581374579&planSku=Nationwide%20Unlimited%2050GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
