Mobile Name,Mobile Plan Price,Mobile Full Price, Mobile Image URL
Samsung Galaxy Z Flip5,$39.17 /mo.,"$1,605.00",https://images.ctfassets.net/t00ajdlq0g9p/3zkr5TiIKyr2zCUAVTf648/7ed40e39446feb447a1ef04433d097ba/samsung-galaxy-flip5-graphite-angle.png?h=302&w=403&fm=webp&q=100
Google Pixel 7a,$24.95 /mo.,$702.00,https://images.ctfassets.net/t00ajdlq0g9p/5OZq8nAK6N3hIqEuyR8mec/4f9283e19c0d0d16845df7c03044d66e/google-pixel-7a-carbon-front-en.png?h=302&w=403&fm=webp&q=100
iPhone 15 Plus,$42.30 /mo.,"$1,315.00",https://images.ctfassets.net/t00ajdlq0g9p/3mW2ZgNzQWepMf6zseN0e5/d7ec57a7c27ee020e9d2cd9c0c57a442/apple-15-plus-blue-pos1.png?h=302&w=403&fm=webp&q=100
Google Pixel 8 Pro,$30.00 /mo.,"$1,575.00",https://images.ctfassets.net/t00ajdlq0g9p/1LHYwKBmHZGz6gusYWzQMC/670e8552c6f8d68718c1f9ad7592b43a/google-pixel-8-Pro-licorice-front.png?h=302&w=403&fm=webp&q=100
Google Pixel 8 Pro,$40.92 /mo.,"$1,102.00",https://images.ctfassets.net/t00ajdlq0g9p/1LHYwKBmHZGz6gusYWzQMC/670e8552c6f8d68718c1f9ad7592b43a/google-pixel-8-Pro-licorice-front.png?h=302&w=403&fm=webp&q=100
ThinkPhone by Motorola,$15.00 /mo.,"$1,170.00",https://images.ctfassets.net/t00ajdlq0g9p/e9KLl3DhfCGiQocRQYzo0/6cc60ed21fa3b024cafad1b98a955c5e/motorola-thinkPhone-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy S23+,$58.34 /mo.,"$1,729.00",https://images.ctfassets.net/t00ajdlq0g9p/6cBs3ZbMHUcVfhPFEZVGJF/00b1b60335cb42ef29c22d2927cde988/samsung-galaxy-s23Plus-black-front.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy Z Fold5,$85.00 /mo.,"$2,964.00",https://images.ctfassets.net/t00ajdlq0g9p/5nf4mpaeTpF9LnpklGgWpF/937d0758ade4ea391217a86f3f239eb8/samsung-galaxy-fold5-black-front.png?h=302&w=403&fm=webp&q=100
iPhone 14 Plus,$27.09 /mo.,$770.00,https://images.ctfassets.net/t00ajdlq0g9p/6H2n3Z7zz5TlEIOLlKNXcv/d046be094e029eec029557e7430ae51f/apple-14-Plus-purple-pos1.png?h=302&w=403&fm=webp&q=100
iPhone 14 Pro,$34.80 /mo.,$955.00,https://images.ctfassets.net/t00ajdlq0g9p/01NYHxIykVNPWK5XwTgBqP/5e76264b1d92c821ac1c4ce89213967e/iPhone14Pro-SpaceBlack-pos1.png?h=302&w=403&fm=webp&q=100
iPhone 14 Pro Max,$35.42 /mo.,$970.00,https://images.ctfassets.net/t00ajdlq0g9p/GbhrhKuSbh7U7muBTatOc/da9e6b3bb7ff8e13d16829efd2293995/iPhone14ProMax-DeepPurple-pos1.png?h=302&w=403&fm=webp&q=100
Samsung Galaxy Z Flip4,$52.51 /mo.,"$1,556.00",https://images.ctfassets.net/t00ajdlq0g9p/1hJZWajdB9gW00W6h8uiK4/bb5c23770eb80ad36e272a217095320f/samsung-z-flip-graphite-angle.png?h=302&w=403&fm=webp&q=100
